symbol,disease,panel,panel_name,evidence_level
PROS1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
LGMN,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PRSS2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
KLK7,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HTRA1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NPDC1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PSG5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PSMA2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TCIM,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PNO1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PAK6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ARNTL2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RGMA,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PSMB9,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PSMC1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CASS4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TIGAR,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PGLYRP4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PELI1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PSMD11,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ANKRD50,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
VN1R1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MCOLN1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TAS2R38,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PTGER2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PTGER4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CYP20A1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PTH,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR410,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NDRG2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR520D,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PPM1H,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ZNF512B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NLN,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ADGRB1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
XPO5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GPR158,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NUFIP2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NCEH1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SH3RF1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
QSOX1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
USP37,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CWC22,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GBA2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PTPN6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HAMP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
LSM2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PTPRA,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PTX3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DLGAP3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SNX6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
QDPR,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RAB3B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RAB6A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RAD51,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RAD51B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RAN,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RAP1B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RAP2B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RB1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ACE2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
LGR6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
REL,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BCL2L1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RGS2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RGS4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RGS10,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RHEB,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RING1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HAPLN2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RNH1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PROK2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FKBP10,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RNY1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ROCK1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BCR,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RPL32,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RPS6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR486-1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RPS6KB1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RRAS,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RTN1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RXRA,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
S100A9,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
S100A10,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CFB,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SALL1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SAT1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SATB1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BGLAP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SCN1A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SCN8A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SCN9A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CCL3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NEUROD6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ANO3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SEL1L,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SELE,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TNMD,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC39A8,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TINAGL1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
XYLT2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SELENOP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TFB2M,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MS4A6A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
POU5F1P3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HIF3A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SGK1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CSMD1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
POU5F1P4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CCDC154,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SHH,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PDIA2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NORAD,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BMI1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
LINC00273,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BMP2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC1A1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RAPH1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC1A6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC2A1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC2A4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CXADRP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SPAG11A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC6A8,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC6A11,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC6A13,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC7A1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
OCM,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC8A3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC11A1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC19A1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC20A2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC22A5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BMX,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SMPD2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SMS,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR545,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR542,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SORL1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SOX2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DST,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SPN,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SPTBN1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BRAF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ST13,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
STAT1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
STAT4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PARK12,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
STIM1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CDKL5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
STXBP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ABCC8,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ADAM17,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TACR1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
KLF9,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TAF1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TAP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CNTN2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR561,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR579,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR590,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR599,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR613,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR625,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR626,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR634,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DYNLT3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TEF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TMBIM6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TFDP2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
THAS,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
THBS1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
THOP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TIAL1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TIMP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TKT,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TM7SF2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
C1R,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TPT1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CRISP2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NR2C1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HSP90B1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TRAF6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
C4A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
C4B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TRPC6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ATXN8,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PHLDA2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TST,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TUBA4A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
POTEF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TUFM,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TNFRSF4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PLIN4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TXNRD1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TYMS,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TYROBP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
UBE2V1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
UBE3A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
UBTF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
UCN,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
UCP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
UMOD,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
UQCRFS1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
UQCRH,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
VGF,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
VHL,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
VIP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
VIPR1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
VSNL1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
WAS,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
WFS1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
WNT5A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
XK,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
XRCC1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
XRCC3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
YWHAG,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
YWHAH,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CNBP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ZSCAN21,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CA2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR671,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CA12,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MAP3K12,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PRDM2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
LRP8,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TUBA1A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DUSP26,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ST8SIA4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ASPSCR1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FA2H,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DHRS11,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BRCC3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FSD1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
LAP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CALB2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FYCO1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PAGR1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TNFAIP8L2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MCPH1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NEIL1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RTL10,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
LIN28A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PEAK1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CALCR,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DHDDS,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ELOVL7,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CALD1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC8B1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TNKS2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CSRP3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FGF23,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ZNF436,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TAS1R2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CALR,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC7A5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC14A2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RAB1B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC25A28,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MLRL,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SYN3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GTPBP6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
AXIN1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FZD4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
APH1B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TLCD3B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FSD1L,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CASP6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
KREMEN1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CASP7,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DTNBP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CASP8,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MINDY4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ATP13A4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NR0B2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NCK2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CUL1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MAK16,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MAP1LC3A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CASR,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ZGPAT,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
EBPL,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SPZ1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
USP30,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PTPN5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ORAI1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DGKD,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PPIL4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CHST1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DNAJC14,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
LGR5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PDXK,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CASK,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PRKRA,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CAV2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RUNX1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
USO1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PSMG1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TP63,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HSD17B6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
EIF3A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PEA15,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SNX3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TNFRSF14,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FADD,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SNAP23,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RGS9,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FGF18,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CCN6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ASAP2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CCKBR,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FUBP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
EIF2B4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
EIF2B2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
EIF2S2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ENDOU,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MBD2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CCND3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
USP13,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CHRFAM7A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
HSPB3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PGLYRP1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SOCS3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ERDA1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MCU,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PIAS2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
IL33,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TRIM41,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
USP10,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
AIFM1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PLXNA4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DEPDC7,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
OSMR,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC16A7,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SLC33A1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MTDH,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
VAPB,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GPR37L1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CD14,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PRDM6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TAOK2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
